GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC04_VC195,Percent Margin of Error; ANCESTRY - Total population - Greek
HC01_VC196,Estimate; ANCESTRY - Total population - Hungarian
HC02_VC196,Margin of Error; ANCESTRY - Total population - Hungarian
HC03_VC196,Percent; ANCESTRY - Total population - Hungarian
HC04_VC196,Percent Margin of Error; ANCESTRY - Total population - Hungarian
HC01_VC197,Estimate; ANCESTRY - Total population - Irish
HC02_VC197,Margin of Error; ANCESTRY - Total population - Irish
HC03_VC197,Percent; ANCESTRY - Total population - Irish
HC04_VC197,Percent Margin of Error; ANCESTRY - Total population - Irish
HC01_VC198,Estimate; ANCESTRY - Total population - Italian
HC02_VC198,Margin of Error; ANCESTRY - Total population - Italian
HC03_VC198,Percent; ANCESTRY - Total population - Italian
HC04_VC198,Percent Margin of Error; ANCESTRY - Total population - Italian
HC01_VC199,Estimate; ANCESTRY - Total population - Lithuanian
HC02_VC199,Margin of Error; ANCESTRY - Total population - Lithuanian
HC03_VC199,Percent; ANCESTRY - Total population - Lithuanian
HC04_VC199,Percent Margin of Error; ANCESTRY - Total population - Lithuanian
HC01_VC200,Estimate; ANCESTRY - Total population - Norwegian
HC02_VC200,Margin of Error; ANCESTRY - Total population - Norwegian
HC03_VC200,Percent; ANCESTRY - Total population - Norwegian
HC04_VC200,Percent Margin of Error; ANCESTRY - Total population - Norwegian
HC01_VC201,Estimate; ANCESTRY - Total population - Polish
HC02_VC201,Margin of Error; ANCESTRY - Total population - Polish
HC03_VC201,Percent; ANCESTRY - Total population - Polish
HC04_VC201,Percent Margin of Error; ANCESTRY - Total population - Polish
HC01_VC202,Estimate; ANCESTRY - Total population - Portuguese
HC02_VC202,Margin of Error; ANCESTRY - Total population - Portuguese
HC03_VC202,Percent; ANCESTRY - Total population - Portuguese
HC04_VC202,Percent Margin of Error; ANCESTRY - Total population - Portuguese
HC01_VC203,Estimate; ANCESTRY - Total population - Russian
HC02_VC203,Margin of Error; ANCESTRY - Total population - Russian
HC03_VC203,Percent; ANCESTRY - Total population - Russian
HC04_VC203,Percent Margin of Error; ANCESTRY - Total population - Russian
HC01_VC204,Estimate; ANCESTRY - Total population - Scotch-Irish
HC02_VC204,Margin of Error; ANCESTRY - Total population - Scotch-Irish
HC03_VC204,Percent; ANCESTRY - Total population - Scotch-Irish
HC04_VC204,Percent Margin of Error; ANCESTRY - Total population - Scotch-Irish
HC01_VC205,Estimate; ANCESTRY - Total population - Scottish
HC02_VC205,Margin of Error; ANCESTRY - Total population - Scottish
HC03_VC205,Percent; ANCESTRY - Total population - Scottish
HC04_VC205,Percent Margin of Error; ANCESTRY - Total population - Scottish
HC01_VC206,Estimate; ANCESTRY - Total population - Slovak
HC02_VC206,Margin of Error; ANCESTRY - Total population - Slovak
HC03_VC206,Percent; ANCESTRY - Total population - Slovak
HC04_VC206,Percent Margin of Error; ANCESTRY - Total population - Slovak
HC01_VC207,Estimate; ANCESTRY - Total population - Subsaharan African
HC02_VC207,Margin of Error; ANCESTRY - Total population - Subsaharan African
HC03_VC207,Percent; ANCESTRY - Total population - Subsaharan African
HC04_VC207,Percent Margin of Error; ANCESTRY - Total population - Subsaharan African
HC01_VC208,Estimate; ANCESTRY - Total population - Swedish
HC02_VC208,Margin of Error; ANCESTRY - Total population - Swedish
HC03_VC208,Percent; ANCESTRY - Total population - Swedish
HC04_VC208,Percent Margin of Error; ANCESTRY - Total population - Swedish
HC01_VC209,Estimate; ANCESTRY - Total population - Swiss
HC02_VC209,Margin of Error; ANCESTRY - Total population - Swiss
HC03_VC209,Percent; ANCESTRY - Total population - Swiss
HC04_VC209,Percent Margin of Error; ANCESTRY - Total population - Swiss
HC01_VC210,Estimate; ANCESTRY - Total population - Ukrainian
HC02_VC210,Margin of Error; ANCESTRY - Total population - Ukrainian
HC03_VC210,Percent; ANCESTRY - Total population - Ukrainian
HC04_VC210,Percent Margin of Error; ANCESTRY - Total population - Ukrainian
HC01_VC211,Estimate; ANCESTRY - Total population - Welsh
HC02_VC211,Margin of Error; ANCESTRY - Total population - Welsh
HC03_VC211,Percent; ANCESTRY - Total population - Welsh
HC04_VC211,Percent Margin of Error; ANCESTRY - Total population - Welsh
HC01_VC212,Estimate; ANCESTRY - Total population - West Indian (excluding Hispanic origin groups)
HC02_VC212,Margin of Error; ANCESTRY - Total population - West Indian (excluding Hispanic origin groups)
HC03_VC212,Percent; ANCESTRY - Total population - West Indian (excluding Hispanic origin groups)
HC04_VC212,Percent Margin of Error; ANCESTRY - Total population - West Indian (excluding Hispanic origin groups)
HC01_VC216,Estimate; COMPUTERS AND INTERNET USE - Total households
HC02_VC216,Margin of Error; COMPUTERS AND INTERNET USE - Total households
HC03_VC216,Percent; COMPUTERS AND INTERNET USE - Total households
HC04_VC216,Percent Margin of Error; COMPUTERS AND INTERNET USE - Total households
HC01_VC217,Estimate; COMPUTERS AND INTERNET USE - Total households - With a computer
HC02_VC217,Margin of Error; COMPUTERS AND INTERNET USE - Total households - With a computer
HC03_VC217,Percent; COMPUTERS AND INTERNET USE - Total households - With a computer
HC04_VC217,Percent Margin of Error; COMPUTERS AND INTERNET USE - Total households - With a computer
HC01_VC218,Estimate; COMPUTERS AND INTERNET USE - Total households - With a broadband Internet subscription
HC02_VC218,Margin of Error; COMPUTERS AND INTERNET USE - Total households - With a broadband Internet subscription
HC03_VC218,Percent; COMPUTERS AND INTERNET USE - Total households - With a broadband Internet subscription
HC04_VC218,Percent Margin of Error; COMPUTERS AND INTERNET USE - Total households - With a broadband Internet subscription
